classification,detail,people_number,information
Etapa del ciclo de vida,Primera infancia 0 – 5 años,0,""
Etapa del ciclo de vida,Infancia 6 – 11 años,0,""
Etapa del ciclo de vida,Adolescencia 12- 18 años,0,""
Etapa del ciclo de vida,Juventud 14 – 26 años,0,""
Etapa del ciclo de vida,Adultez 27 – 59 años,0,""
Etapa del ciclo de vida,Vejez 60 años y más,0,""
Etaria (Edad),0 a 14 años,0,""
Etaria (Edad),15 a 19 años,0,""
Etaria (Edad),20 a 59 años,0,""
Etaria (Edad),Mayor de 60 años,0,""
Grupos étnicos,Pueblos Indígenas,0,""
Grupos étnicos,Comunidades Afrocolombianas,0,""
Grupos étnicos,Comunidades Raizales,0,""
Grupos étnicos,Pueblos Rrom,0,""
Grupos étnicos,Población Mestiza,0,""
Grupos étnicos,Comunidades Negras,0,""
Grupos étnicos,Comunidades Palenqueras,0,""
Género,Masculino,0,""
Género,Femenino,0,""
Población Vulnerable,Personas en Reincorporación (Acuerdos de Paz),0,""
Población Vulnerable,Personas en Reintegración exintegrantes de Grupos Armados Organizados y otros en tránsito a la vida civil,0,""
Población Vulnerable,Desplazados,0,""
Población Vulnerable,Personas con discapacidad,0,""
Población Vulnerable,Víctimas de otros hechos diferentes al desplazamiento,0,""
