region;Departamento;Ciudad;codigo
Caribe;Atlántico;Barranquilla;8001
Caribe;Atlántico;Baranoa;8078
Caribe;Atlántico;Campo De La Cruz;8137
Caribe;Atlántico;Candelaria;8141
Caribe;Atlántico;Galapa;8296
Caribe;Atlántico;Juan De Acosta;8372
Caribe;Atlántico;Luruaco;8421
Caribe;Atlántico;Malambo;8433
Caribe;Atlántico;Manatí;8436
Caribe;Atlántico;Palmar De Varela;8520
Caribe;Atlántico;Piojó;8549
Caribe;Atlántico;Polonuevo;8558
Caribe;Atlántico;Ponedera;8560
Caribe;Atlántico;Puerto Colombia;8573
Caribe;Atlántico;Repelón;8606
Caribe;Atlántico;Sabanagrande;8634
Caribe;Atlántico;Sabanalarga;8638
Caribe;Atlántico;Santa Lucía;8675
Caribe;Atlántico;Santo Tomás;8685
Caribe;Atlántico;Soledad;8758
Caribe;Atlántico;Suan;8770
Caribe;Atlántico;Tubará;8832
Caribe;Atlántico;Usiacurí;8849
Caribe;Atlántico;Cartagena;13001
Caribe;Bolívar;Achí;13006
Caribe;Bolívar;Altos Del Rosario;13030
Caribe;Bolívar;Arenal;13042
Caribe;Bolívar;Arjona;13052
Caribe;Bolívar;Arroyohondo;13062
Caribe;Bolívar;Barranco De Loba;13074
Caribe;Bolívar;Calamar;13140
Caribe;Bolívar;Cantagallo;13160
Caribe;Bolívar;Cicuco;13188
Caribe;Bolívar;Córdoba;13212
Caribe;Bolívar;Clemencia;13222
Caribe;Bolívar;El Carmen De Bolívar;13244
Caribe;Bolívar;El Guamo;13248
Caribe;Bolívar;El Peñon;13268
Caribe;Bolívar;Hatillo De Loba;13300
Caribe;Bolívar;Magangué;13430
Caribe;Bolívar;Mahates;13433
Caribe;Bolívar;Margarita;13440
Caribe;Bolívar;María La Baja;13442
Caribe;Bolívar;Montecristo;13458
Caribe;Bolívar;Mompós;13468
Caribe;Bolívar;Morales;13473
Caribe;Bolívar;Norosí;13490
Caribe;Bolívar;Pinillos;13549
Caribe;Bolívar;Regidor;13580
Caribe;Bolívar;Río Viejo;13600
Caribe;Bolívar;San Cristóbal;13620
Caribe;Bolívar;San Estanislao;13647
Caribe;Bolívar;San Fernando;13650
Caribe;Bolívar;San Jacinto;13654
Caribe;Bolívar;San Jacinto Del Cauca;13655
Caribe;Bolívar;San Juan Nepomuceno;13657
Caribe;Bolívar;San Martín De Loba;13667
Caribe;Bolívar;San Pablo;13670
Caribe;Bolívar;Santa Catalina;13673
Caribe;Bolívar;Santa Rosa;13683
Caribe;Bolívar;Santa Rosa Del Sur;13688
Caribe;Bolívar;Simití;13744
Caribe;Bolívar;Soplaviento;13760
Caribe;Bolívar;Talaigua Nuevo;13780
Caribe;Bolívar;Tiquisio;13810
Caribe;Bolívar;Turbaco;13836
Caribe;Bolívar;Turbaná;13838
Caribe;Bolívar;Villanueva;13873
Caribe;Bolívar;Zambrano;13894
Caribe;Cesar;Valledupar;20001
Caribe;Cesar;Aguachica;20011
Caribe;Cesar;Agustín Codazzi;20013
Caribe;Cesar;Astrea;20032
Caribe;Cesar;Becerril;20045
Caribe;Cesar;Bosconia;20060
Caribe;Cesar;Chimichagua;20175
Caribe;Cesar;Chiriguaná;20178
Caribe;Cesar;Curumaní;20228
Caribe;Cesar;El Copey;20238
Caribe;Cesar;El Paso;20250
Caribe;Cesar;Gamarra;20295
Caribe;Cesar;González;20310
Caribe;Cesar;La Gloria;20383
Caribe;Cesar;La Jagua De Ibirico;20400
Caribe;Cesar;Manaure;20443
Caribe;Cesar;Pailitas;20517
Caribe;Cesar;Pelaya;20550
Caribe;Cesar;Pueblo Bello;20570
Caribe;Cesar;Río De Oro;20614
Caribe;Cesar;La Paz;20621
Caribe;Cesar;San Alberto;20710
Caribe;Cesar;San Diego;20750
Caribe;Cesar;San Martín;20770
Caribe;Cesar;Tamalameque;20787
Caribe;Córdoba;Montería;23001
Caribe;Córdoba;Ayapel;23068
Caribe;Córdoba;Buenavista;23079
Caribe;Córdoba;Canalete;23090
Caribe;Córdoba;Cereté;23162
Caribe;Córdoba;Chimá;23168
Caribe;Córdoba;Chinú;23182
Caribe;Córdoba;Ciénaga De Oro;23189
Caribe;Córdoba;Cotorra;23300
Caribe;Córdoba;La Apartada;23350
Caribe;Córdoba;Lorica;23417
Caribe;Córdoba;Los Córdobas;23419
Caribe;Córdoba;Momil;23464
Caribe;Córdoba;Montelíbano;23466
Caribe;Córdoba;Moñitos;23500
Caribe;Córdoba;Planeta Rica;23555
Caribe;Córdoba;Pueblo Nuevo;23570
Caribe;Córdoba;Puerto Escondido;23574
Caribe;Córdoba;Puerto Libertador;23580
Caribe;Córdoba;Purísima;23586
Caribe;Córdoba;Sahagún;23660
Caribe;Córdoba;San Andres Sotavento;23670
Caribe;Córdoba;San Antero;23672
Caribe;Córdoba;San Bernardo Del Viento;23675
Caribe;Córdoba;San Carlos;23678
Caribe;Córdoba;San José de Uré;23682
Caribe;Córdoba;San Pelayo;23686
Caribe;Córdoba;Tierralta;23807
Caribe;Córdoba;Tuchín;23815
Caribe;Córdoba;Valencia;23855
Caribe;La Guajira;Riohacha;44001
Caribe;La Guajira;Albania;44035
Caribe;La Guajira;Barrancas;44078
Caribe;La Guajira;Dibulla;44090
Caribe;La Guajira;Distracción;44098
Caribe;La Guajira;El Molino;44110
Caribe;La Guajira;Fonseca;44279
Caribe;La Guajira;Hatonuevo;44378
Caribe;La Guajira;La Jagua Del Pilar;44420
Caribe;La Guajira;Maicao;44430
Caribe;La Guajira;Manaure;44560
Caribe;La Guajira;San Juan Del Cesar;44650
