Actor;Entidad
Departamental;Departamento
Departamental;Seleccione
Departamental;Amazonas
Departamental;Antioquia
Departamental;Arauca
Departamental;Archipiélago de San Andrés, Providencia y Santa Catalina
Departamental;Atlántico
Departamental;Bolívar
Departamental;Boyacá
Departamental;Caldas
Departamental;Caquetá
Departamental;Casanare
Departamental;Cauca
Departamental;Cesar
Departamental;Chocó
Departamental;Córdoba
Departamental;Cundinamarca
Departamental;Guainía
Departamental;Guaviare
Departamental;Huila
Departamental;La Guajira
Departamental;Magdalena
Departamental;Meta
Departamental;Nariño
Departamental;Norte de Santander
Departamental;Putumayo
Departamental;Quindio
Departamental;Risaralda
Departamental;Santander
Departamental;Sucre
Departamental;Tolima
Departamental;Valle del Cauca
Departamental;Vaupés
Departamental;Vichada
Embajada;ALEMANIA
Embajada;ARGELIA
Embajada;ARGENTINA
Embajada;AUSTRALIA, Nueva Zelandia
Embajada;AUSTRIA, República Checa, Eslovenia, Eslovaquia, Hungría, Serbia, Montenegro y Croacia
Embajada;AZERBAIYÁN
Embajada;"""BÉLGICA, Luxemburgo"""
Embajada;BOLIVIA
Embajada;BRASIL
Embajada;CANADA
Embajada;CHILE
Embajada;CHINA
Embajada;COREA
Embajada;COSTA RICA
Embajada;CUBA, Bahamas
Embajada;ECUADOR
Embajada;EGIPTO, Reino de Arabia Saudita, Chad, Eritrea, Libia, Sudán Y Yibuti
Embajada;EL SALVADOR, Belice
Embajada;EMIRATOS ARABES UNIDOS, Qatar, Kuwait, Bahréin, Yemen
Embajada;ESPAÑA
Embajada;ESTADOS UNIDOS
Embajada;FINLANDIA
Embajada;FRANCIA
Embajada;GHANA
Embajada;GRAN BRETAÑA, República de Irlanda
Embajada;GUATEMALA
Embajada;HONDURAS
Embajada;INDIA, Nepal, Bután, Bangladesh, Sri Lanka
Embajada;INDONESIA
Embajada;ISRAEL
Embajada;ITALIA, Malta, Grecia, Albania, San Marino
Embajada;JAMAICA, Antigua y Barbuda, Dominica, Saint Kitts y Nevis, Santa Lucia
Embajada;JAPÓN
Embajada;KENIA
Embajada;LÍBANO
Embajada;MALASIA
Embajada;MARRUECOS
Embajada;MEXICO
Embajada;NICARAGUA
Embajada;PAÍSES BAJOS
Embajada;PANAMÁ
Embajada;PARAGUAY
Embajada;PERÚ
Embajada;POLONIA, Estonia, Letonia, Lituania, Rumania, Bulgaria, Moldavia, Ucrania
Embajada;PORTUGAL
Embajada;REPÚBLICA DOMINICANA, Haití
Embajada;RUSIA
Embajada;SANTA SEDE
Embajada;SINGAPUR
Embajada;SUDÁFRICA
Embajada;SUECIA
Embajada;SUIZA
Embajada;TAILANDIA, Myanmar, Camboya, República Democrática Popular Lao
Embajada;TRINIDAD Y TOBAGO, Granada, Barbados, San Vicente y las Granadinas
Embajada;TURQUIA
Embajada;URUGUAY
Embajada;VENEZUELA
Embajada;VIETNAM
Empresas Industriales y comerciales del Estado (EICE);Artesanias de Colombia
Empresas Industriales y comerciales del Estado (EICE);Cenabastos S.A.
Empresas Industriales y comerciales del Estado (EICE);Centrales Electricas de Nariño S.A.
Empresas Industriales y comerciales del Estado (EICE);Centro de Diagnostico Automotor de Caldas LTDA.
Empresas Industriales y comerciales del Estado (EICE);Centro de Diagnostico Automotor de Cucuta LTDA
Empresas Industriales y comerciales del Estado (EICE);Centro Dermatologico Federico Lleras Acosta
Empresas Industriales y comerciales del Estado (EICE);Coljuegos
Empresas Industriales y comerciales del Estado (EICE);Corporacion Autonoma Regional del Rio Grande de la Magdalena
