codigo;nombre ;aplicación
01;CONGRESO;NACIÓN
02;PRESIDENCIA DE LA REPÚBLICA;NACIÓN
03;PLANEACIÓN;NACIÓN
04;INFORMACIÓN ESTADÍSTICA;NACIÓN Y TERRITORIO
05;EMPLEO PÚBLICO;NACIÓN
11;RELACIONES EXTERIORES;NACIÓN
12;JUSTICIA Y DEL DERECHO;NACIÓN Y TERRITORIO
13;HACIENDA;NACIÓN
15;DEFENSA Y POLICÍA;NACIÓN
17;AGRICULTURA Y DESARROLLO RURAL;NACIÓN Y TERRITORIO
19;SALUD Y PROTECCIÓN SOCIAL;NACIÓN Y TERRITORIO
21;MINAS Y ENERGÍA;NACIÓN Y TERRITORIO
22;EDUCACIÓN;NACIÓN Y TERRITORIO
23;TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES;NACIÓN Y TERRITORIO
24;TRANSPORTE;NACIÓN Y TERRITORIO
25;ORGANISMOS DE CONTROL;NACIÓN Y TERRITORIO
27;RAMA JUDICIAL;NACIÓN
28;REGISTRADURÍA;NACIÓN
29;FISCALÍA;NACIÓN
32;AMBIENTE Y DESARROLLO SOSTENIBLE;NACIÓN Y TERRITORIO
33;CULTURA;NACIÓN Y TERRITORIO
35;COMERCIO, INDUSTRIA Y TURISMO;NACIÓN Y TERRITORIO
36;TRABAJO;NACIÓN Y TERRITORIO
37;INTERIOR;NACIÓN
39;CIENCIA, TECNOLOGÍA E INNOVACIÓN;NACIÓN Y TERRITORIO
40;VIVIENDA, CIUDAD Y TERRITORIO;NACIÓN Y TERRITORIO
41;INCLUSIÓN SOCIAL Y RECONCILIACIÓN;NACIÓN Y TERRITORIO
42;INTELIGENCIA;NACIÓN
43;DEPORTE Y RECREACIÓN;NACIÓN Y TERRITORIO
44;JUSTICIA ESPECIAL PARA LA PAZ;NACIÓN
45;GOBIERNO TERRITORIAL;TERRITORIO
