codigo_sector;nombre_sector;codigo_programa;nombre_programa;ambito;codigo_subprograma;nombre_subprograma
1;CONGRESO;0101;Mejoramiento de la eficiencia y la transparencia legislativa;NACIÓN;1000;Intersubsectorial Gobierno
1;CONGRESO;0199;Fortalecimiento de la gestión y dirección del Sector Congreso de la República;NACIÓN;1000;Intersubsectorial Gobierno
2;PRESIDENCIA DE LA REPÚBLICA;0201;Articulación y fortalecimiento de la respuesta del Estado en materia de Derechos Humanos desde el Sector Presidencia;NACIÓN;1000;Intersubsectorial Gobierno
2;PRESIDENCIA DE LA REPÚBLICA;0202;Gestión de espacios para fortalecer el desarrollo integral de la primera infancia desde el sector Presidencia;NACIÓN;1000;Intersubsectorial Gobierno
2;PRESIDENCIA DE LA REPÚBLICA;0203; Consolidación de la lucha contra la corrupción desde el sector Presidencia;NACIÓN;1000;Intersubsectorial Gobierno
2;PRESIDENCIA DE LA REPÚBLICA;0204;Gestión para impulsar el desarrollo integral de los y las jóvenes desde el Sector Presidencia  ;NACIÓN;1000;Intersubsectorial Gobierno
2;PRESIDENCIA DE LA REPÚBLICA;0205;Fortalecimiento de las capacidades institucionales en transversalización del enfoque de género dentro de las entidades de los niveles nacional y territorial desde el Sector Presidencia;NACIÓN;1000;Intersubsectorial Gobierno
2;PRESIDENCIA DE LA REPÚBLICA;0206;Acción Integral contra minas antipersonal como mecanismo de transición hacia la paz territorial desde el Sector Presidencia;NACIÓN;1000;Intersubsectorial Gobierno
2;PRESIDENCIA DE LA REPÚBLICA;0207;Prevención y mitigación del riesgo de desastres desde el sector Presidencia;NACIÓN;1000;Intersubsectorial Gobierno
2;PRESIDENCIA DE LA REPÚBLICA;0208;Gestión de la cooperación internacional del sector Presidencia;NACIÓN;1000;Intersubsectorial Gobierno
2;PRESIDENCIA DE LA REPÚBLICA;0209;Fortalecimiento de la infraestructura física de las entidades del Estado del nivel nacional desde el Sector Presidencia;NACIÓN;1000;Intersubsectorial Gobierno
2;PRESIDENCIA DE LA REPÚBLICA;0210;Mecanismos de transición hacia la paz a nivel nacional y territorial desde el sector Presidencia;NACIÓN;1000;Intersubsectorial Gobierno
2;PRESIDENCIA DE LA REPÚBLICA;0211;Reintegración de personas y grupos alzados en armas desde el Sector Presidencia;NACIÓN;1000;Intersubsectorial Gobierno
2;PRESIDENCIA DE LA REPÚBLICA;0212;Renovación territorial para el desarrollo integral de las zonas rurales afectadas por el conflicto armado;NACIÓN;1000;Intersubsectorial Gobierno
